//id,code,name,info,,count,day,,betype,usable,sex,school,effect,,
1001,MN001001,"ヨーグルト 70",70カロリーを回復させてくれる,4,1,0,0,70,1,0,0,1100,0,0
1002,MN001002,"ヨーグルト 220",220カロリーを回復させてくれる,4,1,0,0,220,1,0,0,1100,0,0
1003,MN001003,"ヨーグルト 370",370カロリーを回復させてくれる,4,1,0,0,370,1,0,0,1100,0,0
1004,MN001004,"ヨーグルト 780",780カロリーを回復させてくれる,4,1,0,0,780,1,0,0,1100,0,0
1005,MN001005,"ヨーグルト 2400",2400カロリーを回復させてくれる,4,1,0,0,2400,1,0,0,1100,0,0
2001,,"無限カロリー 1日権",1日間、カロリーが減らない,0,1,1,0,0,1,0,0,1200,10001,0
2002,,"無限カロリー 3日",3日間、カロリーが減らない,0,1,3,0,0,1,0,0,1200,10003,0
2003,,"無限カロリー 1ヶ月権",30日間、カロリーが減らない,0,1,30,0,0,1,0,0,1200,10030,0
2101,MN002100,"秘密ルーム作成 3日",使用後3日間、秘密ルームを作成できる,4,1,3,0,0,1,0,0,2100,10003,0
2102,MN002100,"秘密ルーム作成 7日権",使用後7日間、秘密ルームを作成できる,4,1,7,0,0,1,0,0,2100,10007,0
2103,MN002100,秘密の錠前,使用後30日間、秘密ルームを作成できる,4,1,30,0,0,1,0,0,2100,10030,0
2104,MN002100,"秘密ルーム作成 1日権",使用後1日間、秘密ルームを作成できる,4,1,1,0,0,1,0,0,2100,10001,0
2201,MN002200,"フリーダイヤル119 3日",使用後3日間、119を無制限に利用できる,4,1,3,0,0,1,0,0,2200,10003,0
2202,MN002200,"フリーダイヤル119 7日権",使用後7日間、119を無制限に利用できる,4,1,7,0,0,1,0,0,2200,10007,0
2203,MN002200,"フリーダイヤル119 1ヶ月権",使用後30日間、119を無制限に利用できる,4,1,30,0,0,1,0,0,2200,10030,0
2204,MN002200,"フリーダイヤル119 1日権",使用後1日間、119を無制限に利用できる,4,1,1,0,0,1,0,0,2200,10001,0
2301,MN002300,"武器強化保険 1回券",武器強化時に使うと、強化に失敗した場合に、同じ武器（ただし、全く強化していない初期状態）で補償してくれる,4,1,0,0,0,1,0,0,2300,0,0
2302,MN002300,"武器強化保険 10回券",武器強化時に使うと、強化に失敗した場合に、同じ武器（ただし、全く強化していない初期状態）で補償してくれる,4,10,0,0,0,1,0,0,2300,0,0
2401,MN002401,"+4 強化の定石(1年生)",武器強化+4段階の確率が100%になる参考書,4,1,0,0,1,1,0,0,2400,0,0
2402,MN002402,"+4 強化の定石(2年生)",武器強化+4段階の確率が100%になる参考書,4,1,0,0,2,1,0,0,2400,0,0
2403,MN002403,"+4 強化の定石(3年生)",武器強化+4段階の確率が100%になる参考書,4,1,0,0,3,1,0,0,2400,0,0
2404,MN002404,"+4 強化の定石(4年生)",武器強化+4段階の確率が100%になる参考書,4,1,0,0,4,1,0,0,2400,0,0
2405,MN002405,"+4 強化の定石(5年生)",武器強化+4段階の確率が100%になる参考書,4,1,0,0,5,1,0,0,2400,0,0
2406,MN002406,"+4 強化の定石(6年生)",武器強化+4段階の確率が100%になる参考書,4,1,0,0,6,1,0,0,2400,0,0
2411,MN002411,"+5 強化の定石(1年生)",武器強化+5段階の確率が100%になる参考書,4,1,0,0,1,1,0,0,2400,0,0
2412,MN002412,"+5 強化の定石(2年生)",武器強化+5段階の確率が100%になる参考書,4,1,0,0,2,1,0,0,2400,0,0
2413,MN002413,"+5 強化の定石(3年生)",武器強化+5段階の確率が100%になる参考書,4,1,0,0,3,1,0,0,2400,0,0
2414,MN002414,"+5 強化の定石(4年生)",武器強化+5段階の確率が100%になる参考書,4,1,0,0,4,1,0,0,2400,0,0
2415,MN002415,"+5 強化の定石(5年生)",武器強化+5段階の確率が100%になる参考書,4,1,0,0,5,1,0,0,2400,0,0
2416,MN002416,"+5 強化の定石(6年生)",武器強化+5段階の確率が100%になる参考書,4,1,0,0,6,1,0,0,2400,0,0
2471,MN003111,1年生用強化保険証,"1年生用武器を +4以上に強化する時、参考書の代わりに使用する。成功率が母数の70％アップする上、失敗した場合も、未強化状態の同じ武器で補償してくれる",4,1,0,0,1,1,0,0,2400,0,0
2472,MN003112,2年生用強化保険証,"2年生用武器を +4以上に強化する時、参考書の代わりに使用する。成功率が母数の70％アップする上、失敗した場合も、未強化状態の同じ武器で補償してくれる",4,1,0,0,2,1,0,0,2400,0,0
2473,MN003113,3年生用強化保険証,"3年生用武器を +4以上に強化する時、参考書の代わりに使用する。成功率が母数の70％アップする上、失敗した場合も、未強化状態の同じ武器で補償してくれる",4,1,0,0,3,1,0,0,2400,0,0
2474,MN003114,4年生用強化保険証,"4年生用武器を +4以上に強化する時、参考書の代わりに使用する。成功率が母数の70％アップする上、失敗した場合も、未強化状態の同じ武器で補償してくれる",4,1,0,0,4,1,0,0,2400,0,0
2475,MN003115,5年生用強化保険証,"5年生用武器を +4以上に強化する時、参考書の代わりに使用する。成功率が母数の70％アップする上、失敗した場合も、未強化状態の同じ武器で補償してくれる",4,1,0,0,5,1,0,0,2400,0,0
2481,MN003111,特約付・1年生用強化保険証,"1年生用武器を +4以上に強化する時、参考書の代わりに使用する。成功率が母数の70％アップする上、失敗した場合も、強化挑戦前と全く同じ武器で補償してくれる",4,1,0,0,1,1,0,0,2400,0,0
2482,MN003112,特約付・2年生用強化保険証,"2年生用武器を +4以上に強化する時、参考書の代わりに使用する。成功率が母数の70％アップする上、失敗した場合も、強化挑戦前と全く同じ武器で補償してくれる",4,1,0,0,2,1,0,0,2400,0,0
2483,MN003113,特約付・3年生用強化保険証,"3年生用武器を +4以上に強化する時、参考書の代わりに使用する。成功率が母数の70％アップする上、失敗した場合も、強化挑戦前と全く同じ武器で補償してくれる",4,1,0,0,3,1,0,0,2400,0,0
