//type,code,name,hint,attr,,usetype,quick,price
101100,rs_G1100,"翡翠・刀源石 1-C",ブレードを強化,7,0,5,0,500
101101,rs_G1100,"翡翠・刀源石 1-B",ブレードを強化,7,0,5,0,500
101102,rs_G1100,"翡翠・刀源石 1-A",ブレードを強化,7,0,5,0,500
101110,rs_G1101,"翡翠・刀源石 2-C",ブレードを強化,7,0,5,0,2000
101111,rs_G1101,"翡翠・刀源石 2-B",ブレードを強化,7,0,5,0,2000
101112,rs_G1101,"翡翠・刀源石 2-A",ブレードを強化,7,0,5,0,2000
101200,rs_G2100,"緑柱・刀源石 1-C",ブレードを強化,8,0,5,0,500
101201,rs_G2100,"緑柱・刀源石 1-B",ブレードを強化,8,0,5,0,500
101202,rs_G2100,"緑柱・刀源石 1-A",ブレードを強化,8,0,5,0,500
101210,rs_G2101,"緑柱・刀源石 2-C",ブレードを強化,8,0,5,0,2000
101211,rs_G2101,"緑柱・刀源石 2-B",ブレードを強化,8,0,5,0,2000
101212,rs_G2101,"緑柱・刀源石 2-A",ブレードを強化,8,0,5,0,2000
101220,rs_G2102,"緑柱・刀源石 3-C",ブレードを強化,8,0,5,0,8000
101221,rs_G2102,"緑柱・刀源石 3-B",ブレードを強化,8,0,5,0,8000
101222,rs_G2102,"緑柱・刀源石 3-A",ブレードを強化,8,0,5,0,8000
101300,rs_G3100,"珊瑚・刀源石 1-C",ブレードを強化,9,0,5,0,500
101301,rs_G3100,"珊瑚・刀源石 1-B",ブレードを強化,9,0,5,0,500
101302,rs_G3100,"珊瑚・刀源石 1-A",ブレードを強化,9,0,5,0,500
101310,rs_G3101,"珊瑚・刀源石 2-C",ブレードを強化,9,0,5,0,2000
101311,rs_G3101,"珊瑚・刀源石 2-B",ブレードを強化,9,0,5,0,2000
101312,rs_G3101,"珊瑚・刀源石 2-A",ブレードを強化,9,0,5,0,2000
101320,rs_G3102,"珊瑚・刀源石 3-C",ブレードを強化,9,0,5,0,8000
101321,rs_G3102,"珊瑚・刀源石 3-B",ブレードを強化,9,0,5,0,8000
101322,rs_G3102,"珊瑚・刀源石 3-A",ブレードを強化,9,0,5,0,8000
101400,rs_G4100,"黄玉・刀源石 1-C",ブレードを強化,10,0,5,0,500
101401,rs_G4100,"黄玉・刀源石 1-B",ブレードを強化,10,0,5,0,500
101402,rs_G4100,"黄玉・刀源石 1-A",ブレードを強化,10,0,5,0,500
101410,rs_G4101,"黄玉・刀源石 2-C",ブレードを強化,10,0,5,0,2000
101411,rs_G4101,"黄玉・刀源石 2-B",ブレードを強化,10,0,5,0,2000
101412,rs_G4101,"黄玉・刀源石 2-A",ブレードを強化,10,0,5,0,2000
101420,rs_G4102,"黄玉・刀源石 3-C",ブレードを強化,10,0,5,0,8000
101421,rs_G4102,"黄玉・刀源石 3-B",ブレードを強化,10,0,5,0,8000
101422,rs_G4102,"黄玉・刀源石 3-A",ブレードを強化,10,0,5,0,8000
101430,rs_G4103,"黄玉・刀源石 4-C",ブレードを強化,10,0,5,0,32000
101431,rs_G4103,"黄玉・刀源石 4-B",ブレードを強化,10,0,5,0,32000
101432,rs_G4103,"黄玉・刀源石 4-A",ブレードを強化,10,0,5,0,32000
101500,rs_G5100,"紫玉・刀源石 1-C",ブレードを強化,11,0,5,0,500
101501,rs_G5100,"紫玉・刀源石 1-B",ブレードを強化,11,0,5,0,500
101502,rs_G5100,"紫玉・刀源石 1-A",ブレードを強化,11,0,5,0,500
101510,rs_G5101,"紫玉・刀源石 2-C",ブレードを強化,11,0,5,0,2000
101511,rs_G5101,"紫玉・刀源石 2-B",ブレードを強化,11,0,5,0,2000
101512,rs_G5101,"紫玉・刀源石 2-A",ブレードを強化,11,0,5,0,2000
101520,rs_G5102,"紫玉・刀源石 3-C",ブレードを強化,11,0,5,0,8000
101521,rs_G5102,"紫玉・刀源石 3-B",ブレードを強化,11,0,5,0,8000
101522,rs_G5102,"紫玉・刀源石 3-A",ブレードを強化,11,0,5,0,8000
101530,rs_G5103,"紅玉・刀源石 1-C",ブレードを強化,11,0,5,0,500
101531,rs_G5103,"紅玉・刀源石 1-B",ブレードを強化,11,0,5,0,500
101532,rs_G5103,"紅玉・刀源石 1-A",ブレードを強化,11,0,5,0,500
