//type,code,name,info,hint,usetype,attr,grade,price
1,EN000001,赤のクレヨン,1年生用の火属性エネルギー結晶。<br>1年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,1,1,800
2,EN000002,赤の色鉛筆,2年生用の火属性エネルギー結晶。<br>2年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,1,2,2000
3,EN000003,赤のパステル,3年生用の火属性エネルギー結晶。<br>3年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,1,3,6500
4,EN000004,赤の水彩絵具,4年生用の火属性エネルギー結晶。<br>4年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,1,4,13000
5,EN000005,赤のアクリル絵具,5年生用の火属性エネルギー結晶。<br>5年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,1,5,20000
6,EN000006,赤の油絵具,6年生用の火属性エネルギー結晶。<br>6年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,1,6,40000
7,EN000007,青のクレヨン,1年生用の水属性エネルギー結晶。<br>1年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,2,1,800
8,EN000008,青の色鉛筆,2年生用の水属性エネルギー結晶。<br>2年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,2,2,2000
9,EN000009,青のパステル,3年生用の水属性エネルギー結晶。<br>3年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,2,3,6500
10,EN000010,青の水彩絵具,4年生用の水属性エネルギー結晶。<br>4年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,2,4,13000
11,EN000011,青のアクリル絵具,5年生用の水属性エネルギー結晶。<br>5年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,2,5,20000
12,EN000012,青の油絵具,6年生用の水属性エネルギー結晶。<br>6年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,2,6,40000
13,EN000013,緑のクレヨン,1年生用の木属性エネルギー結晶。<br>1年生用以下の源石を解除／破壊する時に使用する。,源石の解除／破壊時に使用,1,3,1,800
