//idHuntField,typeMonster,hpMax,level,typeBasis,name,,,motion,drop,count,rate,exp
1,71,732,28,123,"[28] レッドソソ",0,-1,301051,30003,3,100,18
1,72,758,29,124,"[29] ブルーソソ",0,-1,301051,30003,4,100,19
1,79,784,30,101,"[30] ゼリーデリー",0,-1,301011,30157,5,100,20
2,1,18,1,1,"[1] ソソ",0,-1,300011,30002,1,100,1
2,2,31,2,7,"[2] ラッチュー",0,-1,300071,30008,1,100,1
3,4,54,3,3,"[3] マルシュ",0,-1,300031,30005,1,100,1
3,5,84,4,25,"[4] ブラービー",0,-1,300251,30010,1,100,2
4,6,101,5,3,"[5] マルシュ",0,-1,300031,30005,2,100,2
4,7,141,6,25,"[6] ブラービー",0,-1,300251,30010,2,100,2
4,8,288,7,4,"[7] テディ",0,-1,300041,30017,2,100,3
5,9,329,8,4,"[8] テディ",0,-1,300041,30017,2,100,3
5,10,235,9,98,"[9] グレゴリーII世",0,-1,300981,30011,2,100,4
5,11,411,10,5,"[10] ボボカン",0,-1,300051,30010,2,100,4
6,12,534,13,5,"[13] ボボカン",0,-1,300051,30002,4,100,6
6,13,493,12,98,"[12] グレゴリーII世",0,-1,300981,30156,1,100,5
6,14,287,11,63,"[11] ☆ソソ☆",0,-1,300631,30010,2,100,5
7,15,366,14,63,"[14] ☆ソソ☆",0,-1,300631,30002,5,100,6
7,16,392,15,90,"[15] ボンボ",0,-1,300901,30108,1,100,7
8,18,418,16,8,"[16] ゲトー",0,-1,300081,30019,5,100,8
8,20,444,17,53,"[17] 子ヤンヤン",0,-1,300531,30039,4,100,8
9,21,470,18,53,"[18] 子ヤンヤン",0,-1,300531,30039,5,100,9
9,22,497,19,52,"[19] ヤンヤン",0,-1,300521,30039,4,100,10
10,23,522,20,52,"[20] ヤンヤン",0,-1,300521,30039,4,100,11
10,25,549,21,11,"[21] バラウス",0,-1,300111,30018,3,100,11
11,26,575,22,11,"[22] バラウス",0,-1,300111,30018,3,100,12
11,28,944,23,10,"[23] ウッド",0,-1,300101,30018,3,100,13
12,30,538,24,29,"[24] ミュロビー",0,-1,300291,30035,2,100,14
12,31,654,25,36,"[25] レディ",0,-1,300361,30039,5,100,15
13,33,1067,26,12,"[26] ハイバラウス",0,-1,300121,30009,3,100,16
13,34,706,27,37,"[27] ステディ",0,-1,300371,30039,5,100,17
14,81,732,28,123,"[28] レッドソソ",0,-1,301051,30003,3,100,18
14,82,758,29,124,"[29] ブルーソソ",0,-1,301051,30003,4,100,19
14,89,784,30,101,"[30] ゼリーデリー",0,-1,301011,30157,5,100,20
15,36,18,1,55,"[1] ソソスケルトン",0,-1,300551,30002,1,300,1
15,37,36,2,56,"[2] ハロウィーン",0,-1,300561,30069,1,250,1
15,45,63,3,57,"[3] ゼロセブン",0,-1,300571,30056,2,200,1
15,250,100,1,51,"[1] ドロシー",0,-1,300511,30206,1,200,1
16,41,84,4,65,"[4] リーグ",0,-1,300651,30016,1,100,2
16,42,117,5,84,"[5] ナイトウォーカー",0,-1,300841,30067,1,100,2
16,43,141,6,66,"[6] ビーオ",0,-1,300661,30016,1,100,2
17,38,183,7,54,"[7] フォクシー",0,-1,300541,30060,1,100,3
17,48,179,8,58,"[8] レイス",0,-1,300581,30058,2,100,3
17,49,202,9,67,"[9] フライングドクロ",0,-1,300671,30057,2,100,4
18,50,262,10,86,"[10] カマイタチ",0,-1,300861,30118,1,350,4
18,51,287,11,99,"[11] オルゴールソソ",0,-1,300991,30154,1,300,5
18,53,314,12,31,"[12] スパービー",0,-1,300311,30042,1,250,5
19,54,340,13,31,"[13] スパービー",0,-1,300311,30042,1,100,6
19,55,366,14,106,"[14] 黒後家蜘蛛",0,-1,301061,30167,1,100,6
19,60,392,15,73,"[15] ニーナ",0,-1,300731,30212,1,100,7
20,57,418,16,73,"[16] ニーナ",0,-1,300731,30212,1,100,8
20,58,444,17,74,"[17] ニーノ",0,-1,300741,30212,1,100,8
20,59,470,18,72,"[18] エミリー",0,-1,300721,30076,1,100,9
21,61,497,19,74,"[19] ニーノ",0,-1,300741,30212,1,100,10
21,62,522,20,72,"[20] エミリー",0,-1,300721,30076,1,100,11
21,63,549,21,75,"[21] パペット",0,-1,300751,30215,2,100,11
22,64,575,22,75,"[22] パペット",0,-1,300751,30215,2,100,12
22,65,601,23,94,"[23] トホホ",0,-1,300941,30145,1,100,13
22,66,627,24,103,"[24] 忍者",0,-1,301031,30161,1,100,14
23,67,654,25,103,"[25] 忍者",0,-1,301031,30161,1,100,15
