1,PD000001,"プレゼント用Shop Point",友達にSPをプレゼントできます,友達へのお祝いに！,0,0,0
20,PD002100,"秘密ルーム作成 1日権",1日間、招待した友達だけが入れる専用ルームでエピソードをプレイできます,友達と一緒に！！,0,0,20001
21,PD002100,"秘密ルーム作成 3日権",3日間、招待した友達だけが入れる専用ルームでエピソードをプレイできます,友達と一緒に！！,0,0,20003
22,PD002100,"秘密ルーム作成 7日権",7日間、招待した友達だけが入れる専用ルームでエピソードをプレイできます,友達と一緒に！！,0,0,20007
23,PD002100,秘密の錠前,30日間、招待した友達だけが入れる専用ルームでエピソードをプレイできます,友達と一緒に！！,0,0,20030
24,PD004500,"プラカード使用 1日権",使用すると1日間、好きな文章を書いたプラカードを頭上に掲げられます,若者の主張！,0,0,20001
25,PD004500,"プラカード使用 3日権",使用すると3日間、好きな文章を書いたプラカードを頭上に掲げられます,若者の主張！,0,0,20003
26,PD004500,"プラカード使用 7日権",使用すると7日間、好きな文章を書いたプラカードを頭上に掲げられます,若者の主張！,0,0,20007
27,PD004500,プラカード,使用すると30日間、好きな文章を書いたプラカードを頭上に掲げられます,若者の主張！,0,0,20030
28,PD004100,"名札使用 1日権","使用すると 1日間、自分の名前と同好会名を表示する名札を付けられます",同好会をアピールしよう！,0,0,20001
29,PD004100,"名札使用 3日権","使用すると 3日間、自分の名前と同好会名を表示する名札を付けられます",同好会をアピールしよう！,0,0,20003
30,PD004100,"名札使用 7日権","使用すると 7日間、自分の名前と同好会名を表示する名札を付けられます",同好会をアピールしよう！,0,0,20007
31,PD004100,名札,使用すると30日間、自分の名前と同好会名を表示する名札を付けられます,同好会をアピールしよう！,0,0,20030
32,PD004100,"名札使用 168日権","使用すると 168日間、自分の名前と同好会名を表示する名札を付けられます",同好会をアピールしよう！,0,0,20090
33,PD004100,"名札使用 365日権","使用すると 365日間、自分の名前と同好会名を表示する名札を付けられます",同好会をアピールしよう！,0,0,20365
34,PD009100,"3種 SET 7日","セットシリーズ第1弾！　プラカード使用＋名札使用＋秘密ルーム作成を 3日間使えます",ベストセラー商品セット,0,0,20003
35,PD009100,"3種 SET 7日権","セットシリーズ第1弾！　プラカード使用＋名札使用＋秘密ルーム作成を 7日間使えます",ベストセラー商品セット,0,0,20007
36,PD009100,"3種 SET 28日権","セットシリーズ第1弾！　プラカード使用＋名札使用＋秘密ルーム作成を 28日間使えます",ベストセラー商品セット,0,0,20030
37,PD004201,"赤の名札台紙 1回券",名札の色が赤に変わります,イメージカラーで個性をアピール！,0,0,0
38,PD004202,"オレンジの名札台紙 1回券",名札の色がオレンジに変わります,イメージカラーで個性をアピール！,0,0,0
39,PD004203,"黄色の名札台紙 1回券",名札の色が黄色に変わります,イメージカラーで個性をアピール！,0,0,0
40,PD004204,"緑の名札台紙 1回券",名札の色が緑に変わります,イメージカラーで個性をアピール！,0,0,0
41,PD004205,"青の名札台紙 1回券",名札の色が青に変わります,イメージカラーで個性をアピール！,0,0,0
42,PD004206,"藍色の名札台紙 1回券",名札の色が藍色に変わります,イメージカラーで個性をアピール！,0,0,0
43,PD004207,"紫の名札台紙 1回券",名札の色が紫に変わります,イメージカラーで個性をアピール！,0,0,0
44,PD004208,名札台紙セット,名札の色を、赤、オレンジ、黄色、緑、青、藍色、紫の7色から選んで変えられます,これが私のイメージカラー！,0,0,0
45,PD004300,"称号変更 1日権",1日間、称号を自由に変更できます,称号を自由に使い分けよう！,0,0,20001
46,PD004300,"称号変更 3日権",3日間、称号を自由に変更できます,称号を自由に使い分けよう！,0,0,20003
47,PD004300,"称号変更 7日",7日間、称号を自由に変更できます,称号を自由に使い分けよう！,0,0,20007
48,PD004300,称号自由自在,30日間、称号を自由に変更できます（ただし強制称号は対象外です）,称号を自由に使い分け！,0,0,20030
49,PD004300,"称号変更 3ヶ月権",3ヶ月間、称号を自由に変更できます,称号を自由に使い分けよう！,0,0,20090
50,PD004300,"称号変更 6ヶ月権",6ヶ月間、称号を自由に変更できます,称号を自由に使い分けよう！,0,0,20180
51,PD004300,"称号変更 1年権",1年間、称号を自由に変更できます,称号を自由に使い分けよう！,0,0,20365
52,PD006100,"メモリチップ 7日",3日間、友達リストの上限を50人に増やせます,目指せ友達50人！,0,0,20003
53,PD006100,"メモリチップ 7日",7日間、友達リストの上限を50人に増やせます,目指せ友達50人！,0,0,20007
54,PD006100,メモリーチップ,30日間、友達リストの上限を50人に増やせます,目指せ友達50人！,0,0,20030
55,PD006100,"メモリチップ 3ヶ月権",3ヶ月間、友達リストの上限を50人に増やせます,目指せ友達50人！,0,0,20090
56,PD006100,"メモリチップ 6ヶ月権",6ヶ月間、友達リストの上限を50人に増やせます,目指せ友達50人！,0,0,20180
57,PD006100,"メモリチップ 1年権",1年間、友達リストの上限を50人に増やせます,目指せ友達50人！,0,0,20365
58,PD002401,"+4 強化の定石(1年生)","+4 武器強化を 100% 成功させる定石シリーズ（1年生武器専用）",安全確実な武器強化！,0,0,0
59,PD002402,"+4 強化の定石(2年生)","+4 武器強化を 100% 成功させる定石シリーズ（2年生武器専用）",安全確実な武器強化！,0,0,0
60,PD002403,"+4 強化の定石(3年生)","+4 武器強化を 100% 成功させる定石シリーズ（3年生武器専用）",安全確実な武器強化！,0,0,0
61,PD002404,"+4 強化の定石(4年生)","+4 武器強化を 100% 成功させる定石シリーズ（4年生武器専用）",安全確実な武器強化！,0,0,0
62,PD002411,"+5 強化の定石(1年生)","+5 武器強化を 100% 成功させる定石シリーズ（1年生武器専用）",安全確実な武器強化！,0,0,0
63,PD002412,"+5 強化の定石(2年生)","+5 武器強化を 100% 成功させる定石シリーズ（2年生武器専用）",安全確実な武器強化！,0,0,0
64,PD002413,"+5 強化の定石(3年生)","+5 武器強化を 100% 成功させる定石シリーズ（3年生武器専用）",安全確実な武器強化！,0,0,0
66,PD002414,"+5 強化の定石(4年生)","+5 武器強化を 100% 成功させる定石シリーズ（4年生武器専用）",安全確実な武器強化！,0,0,0
68,PD004300,"称号変更 7日",3日間、称号を自由に変更できます,称号を自由に使い分けよう！,0,0,20003
69,PD006200,"ロッカー 7日","7日間、ロッカーを 1つ追加使用できます",アイテムコレクションの必需品！！,0,0,20007
70,PD006200,ロッカー利用権,"30日間、ロッカーを 1つ追加使用できます",アイテム集めの必需品！！,0,0,20030
71,PD006200,"ロッカー 3ヶ月権","3ヶ月間、ロッカーを 1つ追加使用できます",アイテムコレクションの必需品！！,0,0,20090
72,PD006200,"ロッカー 6ヶ月権","6ヶ月間、ロッカーを 1つ追加使用できます",アイテムコレクションの必需品！！,0,0,20180
73,PD006200,"ロッカー 1年権","1年間、ロッカーを 1つ追加使用できます",アイテムコレクションの必需品！！,0,0,20365
74,PD110250,エスティバー学園　男子生徒用　応援服,"エスティバー学園　男子生徒用　応援服セットを 1日間利用できます",1日間利用可能,1,1,20001
75,PD110250,エスティバー学園　男子生徒用　応援服,"エスティバー学園　男子生徒用　応援服セットを 3日間利用できます",3日間利用可能,1,1,20003
76,PD110250,エスティバー学園　男子生徒用　応援服,エスティバー学園　男子生徒用　応援服セットを7日間利用できます,7日間利用可能,1,1,20007
77,PD110250,エスティバー学園　男子生徒用　応援服,エスティバー学園　男子生徒用　応援服セットを30日間利用できます,30日間利用可能,1,1,20030
78,PD110250,エスティバー学園　男子生徒用　応援服,"エスティバー学園　男子生徒用　応援服セットを 3ヶ月間利用できます",3ヶ月間利用可能,1,1,20090
79,PD110250,エスティバー学園　男子生徒用　応援服,"エスティバー学園　男子生徒用　応援服セットを 6ヶ月間利用できます",6ヶ月間利用可能,1,1,20180
80,PD110250,エスティバー学園　男子生徒用　応援服,"エスティバー学園　男子生徒用　応援服セットを 1年間利用できます",1年間利用可能,1,1,20365
81,PD120250,エスティバー学園　女生徒用　応援服,"エスティバー学園　女生徒用　応援服セットを 1日間利用できます",1日間利用可能,2,1,20001
82,PD120250,エスティバー学園　女生徒用　応援服,"エスティバー学園　女生徒用　応援服セットを 3日間利用できます",3日間利用可能,2,1,20003
83,PD120250,エスティバー学園　女生徒用　応援服,エスティバー学園　女生徒用　応援服セットを7日間利用できます,7日間利用可能,2,1,20007
84,PD120250,エスティバー学園　女生徒用　応援服,エスティバー学園　女生徒用　応援服セットを30日間利用できます,30日間利用可能,2,1,20030
85,PD120250,エスティバー学園　女生徒用　応援服,"エスティバー学園　女生徒用　応援服セットを 3ヶ月間利用できます",3ヶ月間利用可能,2,1,20090
86,PD120250,エスティバー学園　女生徒用　応援服,"エスティバー学園　女生徒用　応援服セットを 6ヶ月間利用できます",6ヶ月間利用可能,2,1,20180
87,PD120250,エスティバー学園　女生徒用　応援服,"エスティバー学園　女生徒用　応援服セットを 1年間利用できます",1年間利用可能,2,1,20365
88,PD210250,宵月学院　男子生徒用　応援服,"宵月学院　男子生徒用　応援服セットを 1日間利用できます",1日間利用可能,1,2,20001
89,PD210250,宵月学院　男子生徒用　応援服,"宵月学院　男子生徒用　応援服セットを 3日間利用できます",3日間利用可能,1,2,20003
90,PD210250,宵月学院　男子生徒用　応援服,宵月学院　男子生徒用　応援服セットを7日間利用できます,7日間利用可能,1,2,20007
91,PD210250,宵月学院　男子生徒用　応援服,宵月学院　男子生徒用　応援服セットを30日間利用できます,30日間利用可能,1,2,20030
92,PD210250,宵月学院　男子生徒用　応援服,"宵月学院　男子生徒用　応援服セットを 3ヶ月間利用できます",3ヶ月間利用可能,1,2,20090
93,PD210250,宵月学院　男子生徒用　応援服,"宵月学院　男子生徒用　応援服セットを 6ヶ月間利用できます",6ヶ月間利用可能,1,2,20180
94,PD210250,宵月学院　男子生徒用　応援服,"宵月学院　男子生徒用　応援服セットを 1年間利用できます",1年間利用可能,1,2,20365
95,PD220250,宵月学院　女生徒用　応援服,"宵月学院　女生徒用　応援服セットを 1日間利用できます",1日間利用可能,2,2,20001
96,PD220250,宵月学院　女生徒用　応援服,"宵月学院　女生徒用　応援服セットを 3日間利用できます",3日間利用可能,2,2,20003
97,PD220250,宵月学院　女生徒用　応援服,宵月学院　女生徒用　応援服セットを7日間利用できます,7日間利用可能,2,2,20007
98,PD220250,宵月学院　女生徒用　応援服,宵月学院　女生徒用　応援服セットを30日間利用できます,30日間利用可能,2,2,20030
99,PD220250,宵月学院　女生徒用　応援服,"宵月学院　女生徒用　応援服セットを 3ヶ月間利用できます",3ヶ月間利用可能,2,2,20090
100,PD220250,宵月学院　女生徒用　応援服,"宵月学院　女生徒用　応援服セットを 6ヶ月間利用できます",6ヶ月間利用可能,2,2,20180
101,PD220250,宵月学院　女生徒用　応援服,"宵月学院　女生徒用　応援服セットを 1年間利用できます",1年間利用可能,2,2,20365
102,PD110310,エスティバー学園　男子生徒用　テニスウェア,"エスティバー学園　男子生徒用　テニスウェアセットを 1日間利用できます",1日間利用可能,1,1,20001
103,PD110310,エスティバー学園　男子生徒用　テニスウェア,"エスティバー学園　男子生徒用　テニスウェアセットを 3日間利用できます",3日間利用可能,1,1,20003
104,PD110310,エスティバー学園　男子生徒用　テニスウェア,エスティバー学園　男子生徒用　テニスウェアセットを7日間利用できます,7日間利用可能,1,1,20007
105,PD110310,テニス部ユニフォーム,エスティバー学園　男子生徒用　テニス部ユニフォームセットを30日間利用できます,30日間利用可能,1,1,20030
106,PD110310,エスティバー学園　男子生徒用　テニスウェア,"エスティバー学園　男子生徒用　テニスウェアセットを 3ヶ月間利用できます",3ヶ月間利用可能,1,1,20090
107,PD110310,エスティバー学園　男子生徒用　テニスウェア,"エスティバー学園　男子生徒用　テニスウェアセットを 6ヶ月間利用できます",6ヶ月間利用可能,1,1,20180
108,PD110310,エスティバー学園　男子生徒用　テニスウェア,"エスティバー学園　男子生徒用　テニスウェアセットを 1年間利用できます",1年間利用可能,1,1,20365
109,PD120310,エスティバー学園　女生徒用　テニスウェア,"エスティバー学園　女生徒用　テニスウェアセットを 1日間利用できます",1日間利用可能,2,1,20001
110,PD120310,エスティバー学園　女生徒用　テニスウェア,"エスティバー学園　女生徒用　テニスウェアセットを 3日間利用できます",3日間利用可能,2,1,20003
111,PD120310,エスティバー学園　女生徒用　テニスウェア,エスティバー学園　女生徒用　テニスウェアセットを7日間利用できます,7日間利用可能,2,1,20007
112,PD120310,テニス部ユニフォーム,エスティバー学園　女生徒用　テニス部ユニフォームセットを30日間利用できます,30日間利用可能,2,1,20030
113,PD120310,エスティバー学園　女生徒用　テニスウェア,"エスティバー学園　女生徒用　テニスウェアセットを 3ヶ月間利用できます",3ヶ月間利用可能,2,1,20090
114,PD120310,エスティバー学園　女生徒用　テニスウェア,"エスティバー学園　女生徒用　テニスウェアセットを 6ヶ月間利用できます",6ヶ月間利用可能,2,1,20180
115,PD120310,エスティバー学園　女生徒用　テニスウェア,"エスティバー学園　女生徒用　テニスウェアセットを 1年間利用できます",1年間利用可能,2,1,20365
116,PD210310,宵月学院　男子生徒用　バドミントンウェア,"宵月学院　男子生徒用　バドミントンウェアセットを 1日間利用できます",1日間利用可能,1,2,20001
117,PD210310,宵月学院　男子生徒用　バドミントンウェア,"宵月学院　男子生徒用　バドミントンウェアセットを 3日間利用できます",3日間利用可能,1,2,20003
118,PD210310,宵月学院　男子生徒用　バドミントンウェア,宵月学院　男子生徒用　バドミントンウェアセットを7日間利用できます,7日間利用可能,1,2,20007
119,PD210310,バドミントン部ユニフォーム,宵月学院　男子生徒用　バドミントン部ユニフォームセットを30日間利用できます,30日間利用可能,1,2,20030
120,PD210310,宵月学院　男子生徒用　バドミントンウェア,"宵月学院　男子生徒用　バドミントンウェアセットを 3ヶ月間利用できます",3ヶ月間利用可能,1,2,20090
121,PD210310,宵月学院　男子生徒用　バドミントンウェア,"宵月学院　男子生徒用　バドミントンウェアセットを 6ヶ月間利用できます",6ヶ月間利用可能,1,2,20180
122,PD210310,宵月学院　男子生徒用　バドミントンウェア,"宵月学院　男子生徒用　バドミントンウェアセットを 1年間利用できます",1年間利用可能,1,2,20365
123,PD220310,宵月学院　女生徒用　バドミントンウェア,"宵月学院　女生徒用　バドミントンウェアセットを 1日間利用できます",1日間利用可能,2,2,20001
124,PD220310,宵月学院　女生徒用　バドミントンウェア,"宵月学院　女生徒用　バドミントンウェアセットを 3日間利用できます",3日間利用可能,2,2,20003
125,PD220310,宵月学院　女生徒用　バドミントンウェア,宵月学院　女生徒用　バドミントンウェアセットを7日間利用できます,7日間利用可能,2,2,20007
126,PD220310,バドミントン部ユニフォーム,宵月学院　女生徒用　バドミントン部ユニフォームセットを30日間利用できます,30日間利用可能,2,2,20030
127,PD220310,宵月学院　女生徒用　バドミントンウェア,"宵月学院　女生徒用　バドミントンウェアセットを 3ヶ月間利用できます",3ヶ月間利用可能,2,2,20090
128,PD220310,宵月学院　女生徒用　バドミントンウェア,"宵月学院　女生徒用　バドミントンウェアセットを 6ヶ月間利用できます",6ヶ月間利用可能,2,2,20180
129,PD220310,宵月学院　女生徒用　バドミントンウェア,"宵月学院　女生徒用　バドミントンウェアセットを 1年間利用できます",1年間利用可能,2,2,20365
130,PD110320,エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装セットを 1日間利用できます",1日間利用可能,1,1,20001
131,PD110320,エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装セットを 3日間利用できます",3日間利用可能,1,1,20003
132,PD110320,エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装,エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装セットを7日間利用できます,7日間利用可能,1,1,20007
133,PD110320,ＲＯＣＫ部ステージ衣装,エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装セットを30日間利用できます,30日間利用可能,1,1,20030
134,PD110320,エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装セットを 3ヶ月間利用できます",3ヶ月間利用可能,1,1,20090
135,PD110320,エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装セットを 6ヶ月間利用できます",6ヶ月間利用可能,1,1,20180
136,PD110320,エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　男子生徒用　ＲＯＣＫ部ステージ衣装セットを 1年間利用できます",1年間利用可能,1,1,20365
137,PD120320,エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装セットを 1日間利用できます",1日間利用可能,2,1,20001
138,PD120320,エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装セットを 3日間利用できます",3日間利用可能,2,1,20003
139,PD120320,エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装,エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装セットを7日間利用できます,7日間利用可能,2,1,20007
140,PD120320,ＲＯＣＫ部ステージ衣装,エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装セットを30日間利用できます,30日間利用可能,2,1,20030
