//id,name,cutin,???
1,ページ,1,0
2,ドロシー,2,0
3,ボボカン,29,0.71
4,購買おばちゃん,3,0
5,ベン,4,0.34
6,ジョニー,5,1.64
7,メイ,6,0.83
8,ビアンカ,7,1.44
10,四刀丸,9,0.73
11,リエズ,10,1.5
12,ソムンヤン,11,0.7
13,マオ＝シャオピン,12,1.24
14,ジョニー,5,1.64
15,変熊,8,0.53
16,変熊,8,0.53
17,ビアンカ,7,1.44
18,変熊,8,0.53
19,ソムンヤン,11,0.7
20,マオ＝シャオピン,12,1.24
21,ドロシー,2,0
22,温室のゲート,30,0
23,ベン,4,0.34
24,ページ,1,0
25,ステファノ,31,0.67
26,ステファノ,31,0.67
27,購買おばちゃん,3,0
28,マオ＝シャオピン,12,1.24
29,スーチョン,21,1
30,ソムンヤン,11,0.7
31,ベン,4,0.34
32,変熊,8,0.53
33,ヒョンラン,14,1.04
34,ペコー,19,1.87
35,ラミン,20,1.87
36,スーチョン,21,1
37,グレイ,22,0.84
38,モカ,24,1.25
39,チャイナ,32,1.23
40,アリーナ,33,0.95
41,ワルグマー,36,0.53
42,ドワルグマー,37,0.53
43,スーチョン,21,1
44,ワルグマー,36,0.53
45,ドワルグマー,37,0.53
46,リエズ,10,1.5
47,子羊,16,0.58
48,ヒョンラン,14,1.04
49,四刀丸,9,0.73
50,ボボカン,29,0.71
51,ドロシー,2,0
52,カルテ,34,1.02
53,スーチョン,21,1
54,リエズ,10,1.5
55,ヒョンラン,14,1.04
56,モカ,24,1.25
57,ページ,1,0
58,スーチョン,21,1
59,変熊,8,0.53
60,ジョニー,5,1.64
61,ジョニー,5,1.64
62,ジョニー,5,1.64
63,購買おばちゃん,3,0
64,ソムンヤン,11,0.7
65,ページ,1,0
66,マオ＝シャオピン,12,1.24
67,レバー,35,0
68,四刀丸,9,0.73
69,四刀丸,9,0.73
70,温室のゲート,30,0
71,メイ,6,0.83
72,メイ,6,0.83
73,メイ,6,0.83
74,メイ,6,0.83
75,メイ,6,0.83
76,スーチョン,21,1
77,ジョニー,5,1.64
78,子羊,16,0.58
79,子羊,16,0.58
80,スーチョン,21,1
81,スーチョン,21,1
82,子羊,16,0.58
83,羊,15,0.93
84,バーモント神父,38,0.85
85,火蓮,40,0.57
86,火蓮,40,0.57
87,火蓮,40,0.57
88,水蓮,39,0.3
89,動物慰霊碑,54,0
90,火蓮,40,0.57
91,サム,51,0.34
92,妖艶,46,0.89
93,暗田,48,0.79
94,火蓮,40,0.57
95,火蓮,40,0.57
96,火蓮,40,0.57
97,火蓮,40,0.57
98,火蓮,40,0.57
99,火蓮,40,0.57
100,シンソヒョン,43,0.99
101,ルーベン,45,0.75
102,サム,51,0.34
103,水蓮,39,0.3
104,暗田,48,0.79
105,暗田,48,0.79
106,暗田,48,0.79
107,暗田,48,0.79
108,火蓮,40,0.57
109,暗田,48,0.79
110,妖艶,46,0.89
111,シャオリーン,47,0
112,"生徒 A",49,0.84
113,火蓮,40,0.57
114,火蓮,40,0.57
115,火蓮,40,0.57
116,火蓮,40,0.57
117,バーモント神父,38,0.85
118,メガデス,56,0
119,マオ＝シャオピン,12,1.24
120,ドロシー,2,0
121,ボボカン,29,0.71
122,変熊,8,0.53
123,シンソヒョン,43,0.99
124,グレイ,22,0.84
125,バーモント神父,38,0.85
126,水蓮,39,0.3
127,水蓮,39,0.3
128,火蓮,40,0.57
129,シャオリーン,47,0
130,"生徒 A",49,0.84
131,シンソヒョン,43,0.99
132,シンソヒョン,43,0.99
133,水蓮,39,0.3
134,バーモント神父,38,0.85
135,バーモント神父,38,0.85
136,水蓮,39,0.3
137,水蓮,39,0.3
138,水蓮,39,0.3
139,火蓮,40,0.57
140,火蓮,40,0.57
141,"生徒 A",49,0.84
142,暗田,48,0.79
143,シンソヒョン,43,0.99
144,下郎蛙,52,0
145,狐子,53,0
146,シャオリーン,47,0
147,霊廟の女人,50,0
148,ルーベン,45,0.75
149,超音波発生器,58,0
150,シャオリーン,47,0
151,シンソヒョン,43,0.99
152,下郎蛙,52,0
153,シンソヒョン,43,0.99
154,バーモント神父,38,0.85
155,暗田,48,0.79
156,火蓮,40,0.57
157,子羊,16,0.58
158,ヒョンラン,14,1.04
159,ウェアウルフ,55,0
160,スーチョン,21,1
161,メイ,6,0.83
162,メイ,6,0.83
163,火蓮,40,0.57
164,ヒョンラン,14,1.04
165,ステファノ,31,0.67
166,購買おばちゃん,3,0
167,購買おばちゃん,3,0
168,シンソヒョン,43,0.99
169,暗田,48,0.79
170,ルーベン,45,0.75
171,サム,51,0.34
172,シンソヒョン,43,0.99
173,妖艶,46,0.89
174,バーモント神父,38,0.85
175,火蓮,40,0.57
176,水蓮,39,0.3
177,購買おばちゃん,3,0
178,購買おばちゃん,3,0
179,シャオリーン,47,0
180,"生徒 A",49,0.84
181,サム,51,0.34
182,暗田,48,0.79
183,火蓮,40,0.57
184,火蓮,40,0.57
185,バーモント神父,38,0.85
186,暗田,48,0.79
187,ジョニー,5,1.64
188,ジョニー,5,1.64
189,ジョニー,5,1.64
190,メイ,6,0.83
191,メイ,6,0.83
192,メイ,6,0.83
193,メイ,6,0.83
194,メイ,6,0.83
195,メイ,6,0.83
196,サム,51,0.34
197,四刀丸,9,0.73
198,ヒョンラン,14,1.04
199,ホヤン,42,0.98
200,メイイェン,41,0.52
201,ワルグマー,36,0.53
202,ドワルグマー,37,0.53
203,モカ,89,1.25
204,モカ,89,1.25
205,モカ,89,1.25
206,モカ,89,1.25
207,モカ,89,1.25
208,モカ,89,1.25
209,ページ,1,0
210,ドロシー,2,0
211,ボボカン,29,0.71
212,サム,51,0.34
213,暗田,48,0.79
214,サム,51,0.34
215,ルーベン,45,0.75
216,シンソヒョン,43,0.99
217,購買おばちゃん,3,0
218,水蓮,39,0.3
219,ビアンカ,7,1.44
220,暗田,48,0.79
221,バーモント神父,38,0.85
222,動物慰霊碑,54,0
223,暗田,48,0.79
224,火蓮,40,0.57
225,暗田,48,0.79
226,スーチョン,21,1
227,モカ,24,1.25
228,グレイ,22,0.84
229,グレイ,22,0.84
230,チャイナ,32,1.23
231,購買おばちゃん,3,0
232,ビアンカ,7,1.44
233,アリーナ,33,0.95
234,リエズ,10,1.5
