//idAtk,baseAtk,(2),(3),reqGrade,level,nextIdAtk,dex,(8),(9),(10),desc,"type(0=atk 1=timer 2=passive)",pow,time,enatk,endef,enhit,eneva,encri,enhp,enatkspd,enmovspd,encool,regain,reqIdAtk,weapon
41001,41001,91011,92011,1,1,41002,1,0,0,16640,初級攻撃(攻撃力：1),0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
41002,41001,91011,92011,1,2,41003,8,0,0,16640,初級攻撃(攻撃力：4),0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
41003,41001,91011,92011,1,3,41004,15,0,0,16640,初級攻撃(攻撃力：8),0,8,0,0,0,0,0,0,0,0,0,0,0,0,2
41004,41001,91011,92012,1,4,41005,22,0,0,16640,初級攻撃(攻撃力：12),0,12,0,0,0,0,0,0,0,0,0,0,0,0,2
41005,41001,91011,92012,1,5,41006,29,0,0,16640,初級攻撃(攻撃力：16),0,16,0,0,0,0,0,0,0,0,0,0,0,0,2
41006,41001,91011,92012,2,6,41007,36,0,0,16640,初級攻撃(攻撃力：20),0,20,0,0,0,0,0,0,0,0,0,0,0,0,2
41007,41001,91011,92013,2,7,41008,43,0,0,16640,初級攻撃(攻撃力：25),0,25,0,0,0,0,0,0,0,0,0,0,0,0,2
41008,41001,91011,92013,2,8,41009,50,0,0,16640,初級攻撃(攻撃力：29),0,29,0,0,0,0,0,0,0,0,0,0,0,0,2
41009,41001,91011,92013,2,9,41010,57,0,0,16640,初級攻撃(攻撃力：33),0,33,0,0,0,0,0,0,0,0,0,0,0,0,2
41010,41001,91011,92014,2,10,0,64,0,0,16640,初級攻撃(攻撃力：37),0,37,0,0,0,0,0,0,0,0,0,0,0,0,2
41011,41011,91011,92011,2,1,41012,67,0,0,16640,中級攻撃(攻撃力：46),0,46,0,0,0,0,0,0,0,0,0,0,0,41010,2
41012,41011,91011,92011,3,2,41013,74,0,0,16640,中級攻撃(攻撃力：50),0,50,0,0,0,0,0,0,0,0,0,0,0,41010,2
41013,41011,91011,92011,3,3,41014,81,0,0,16640,中級攻撃(攻撃力：55),0,55,0,0,0,0,0,0,0,0,0,0,0,41010,2
41014,41011,91011,92012,3,4,41015,88,0,0,16640,中級攻撃(攻撃力：60),0,60,0,0,0,0,0,0,0,0,0,0,0,41010,2
41015,41011,91011,92012,3,5,41016,95,0,0,16640,中級攻撃(攻撃力：65),0,65,0,0,0,0,0,0,0,0,0,0,0,41010,2
41016,41011,91011,92012,4,6,41017,102,0,0,16640,中級攻撃(攻撃力：70),0,70,0,0,0,0,0,0,0,0,0,0,0,41010,2
41017,41011,91011,92013,4,7,41018,109,0,0,16640,中級攻撃(攻撃力：75),0,75,0,0,0,0,0,0,0,0,0,0,0,41010,2
41018,41011,91011,92013,4,8,41019,116,0,0,16640,中級攻撃(攻撃力：80),0,80,0,0,0,0,0,0,0,0,0,0,0,41010,2
41019,41011,91011,92013,4,9,41020,123,0,0,16640,中級攻撃(攻撃力：84),0,84,0,0,0,0,0,0,0,0,0,0,0,41010,2
41020,41011,91011,92014,4,10,0,130,0,0,16640,中級攻撃(攻撃力：89),0,89,0,0,0,0,0,0,0,0,0,0,0,41010,2
41021,41021,91011,92011,4,1,41022,133,0,0,16640,上級攻撃(攻撃力：105),0,105,0,0,0,0,0,0,0,0,0,0,0,41020,2
41022,41021,91011,92011,4,2,41023,140,0,0,16640,上級攻撃(攻撃力：113),0,113,0,0,0,0,0,0,0,0,0,0,0,41020,2
41023,41021,91011,92011,5,3,41024,147,0,0,16640,上級攻撃(攻撃力：122),0,122,0,0,0,0,0,0,0,0,0,0,0,41020,2
41024,41021,91011,92012,5,4,41025,154,0,0,16640,上級攻撃(攻撃力：130),0,130,0,0,0,0,0,0,0,0,0,0,0,41020,2
41025,41021,91011,92012,5,5,41026,161,0,0,16640,上級攻撃(攻撃力：138),0,138,0,0,0,0,0,0,0,0,0,0,0,41020,2
41026,41021,91011,92012,5,6,41027,168,0,0,16640,上級攻撃(攻撃力：147),0,147,0,0,0,0,0,0,0,0,0,0,0,41020,2
41027,41021,91011,92013,5,7,41028,175,0,0,16640,上級攻撃(攻撃力：155),0,155,0,0,0,0,0,0,0,0,0,0,0,41020,2
41028,41021,91011,92013,5,8,41029,182,0,0,16640,上級攻撃(攻撃力：164),0,164,0,0,0,0,0,0,0,0,0,0,0,41020,2
41029,41021,91011,92013,5,9,41030,189,0,0,16640,上級攻撃(攻撃力：172),0,172,0,0,0,0,0,0,0,0,0,0,0,41020,2
41030,41021,91011,92014,6,10,0,196,0,0,16640,上級攻撃(攻撃力：179),0,179,0,0,0,0,0,0,0,0,0,0,0,41020,2
41031,41031,91031,92031,1,1,41032,4,0,0,16528,"一定時間攻撃力アップ(攻撃力 +2，持続：35秒)",1,0,35,2,0,0,0,0,0,0,0,0,0,0,2
41032,41031,91031,92031,1,2,41033,10,0,0,16576,"一定時間攻撃力アップ(攻撃力 +5，持続：37秒)",1,0,37,5,0,0,0,0,0,0,0,0,0,0,2
41033,41031,91031,92031,1,3,41034,16,0,26214,16614,"一定時間攻撃力アップ(攻撃力 +8，持続：39秒)",1,0,39,8,0,0,0,0,0,0,0,0,0,0,2
41034,41031,91031,92032,1,4,41035,22,0,52429,16644,"一定時間攻撃力アップ(攻撃力 +12，持続：41秒)",1,0,41,12,0,0,0,0,0,0,0,0,0,0,2
41035,41031,91031,92032,1,5,41036,28,0,39322,16657,"一定時間攻撃力アップ(攻撃力 +16，持続：43秒)",1,0,43,16,0,0,0,0,0,0,0,0,0,0,2
41036,41031,91031,92032,1,6,41037,34,0,26214,16678,"一定時間攻撃力アップ(攻撃力 +20，持続：46秒)",1,0,46,20,0,0,0,0,0,0,0,0,0,0,2
41037,41031,91031,92033,2,7,41038,40,0,26214,16694,"一定時間攻撃力アップ(攻撃力 +23，持続：49秒)",1,0,49,23,0,0,0,0,0,0,0,0,0,0,2
41038,41031,91031,92033,2,8,41039,46,0,39322,16705,"一定時間攻撃力アップ(攻撃力 +27，持続：52秒)",1,0,52,27,0,0,0,0,0,0,0,0,0,0,2
41039,41031,91031,92033,2,9,41040,52,0,0,16712,"一定時間攻撃力アップ(攻撃力 +30，持続：55秒)",1,0,55,30,0,0,0,0,0,0,0,0,0,0,2
