//type,code,name,info,,,(single),消費ゲージ,,delay
10101,SK010101,"野蛮に殴る武器基本攻撃 1","野蛮に殴る武器基本攻撃 1回目だ。",22,22,1,0,1,100
10102,SK010102,"野蛮に殴る武器基本攻撃 2","野蛮に殴る武器基本攻撃 2回目だ。",22,22,1,0,1,100
10103,SK010103,"野蛮に殴る武器基本攻撃 3","野蛮に殴る武器基本攻撃 3回目だ。",22,22,1,0,1,100
10104,SK010104,"野蛮に殴る武器基本攻撃 4","野蛮に殴る武器基本攻撃 4回目だ。",22,22,1,0,1,230
10201,SK010201,"大きくて重い武器基本攻撃 1","大きくて重い武器基本攻撃 1回目だ。",22,22,1,0,1,96
10202,SK010202,"大きくて重い武器基本攻撃 2","大きくて重い武器基本攻撃 2回目だ。",22,22,1,0,1,96
10203,SK010203,"大きくて重い武器基本攻撃 3","大きくて重い武器基本攻撃 3回目だ。",22,22,1,0,1,96
10204,SK010204,"大きくて重い武器基本攻撃 4","大きくて重い武器基本攻撃 4回目だ。",22,22,1,0,1,167
10301,SK010301,"短くて軽い武器基本攻撃 1","短くて軽い武器基本攻撃 1回目だ。",22,22,1,0,1,100
10302,SK010302,"短くて軽い武器基本攻撃 2","短くて軽い武器基本攻撃 2回目だ。",22,22,1,0,1,100
10303,SK010303,"短くて軽い武器基本攻撃 3","短くて軽い武器基本攻撃 3回目だ。",22,22,1,0,1,100
10304,SK010304,"短くて軽い武器基本攻撃 4","短くて軽い武器基本攻撃 4回目だ。",22,22,1,0,1,100
10401,SK010401,"普通の軽い武器基本攻撃 1","普通の軽い武器基本攻撃 1回目だ。",22,22,1,0,1,86
10402,SK010402,"普通の軽い武器基本攻撃 2","普通の軽い武器基本攻撃 2回目だ。",22,22,1,0,1,86
10403,SK010403,"普通の軽い武器基本攻撃 3","普通の軽い武器基本攻撃 3回目だ。",22,22,1,0,1,86
10404,SK010404,"普通の軽い武器基本攻撃 4","普通の軽い武器基本攻撃 4回目だ。",22,22,1,0,1,142
20001,SK020001,スティンガーエッジ,刃が分離して周囲を旋回しながら敵を攻撃するスキル,22,22,2,1,1,150
20002,SK020002,トライスラッシュ,力を溜めて、斜めに打ち下ろすスキル,22,22,1,1,1,300
20003,SK020003,めがとんふぉーる,真正面にいる敵にダメージを与える,22,22,1,1,1,300
20004,SK020004,めがとんくらっしゃー,プレーヤーキャラクターの前の何人の敵にダメージを加える。,22,22,1,2,1,450
20005,SK020005,茨の槍,毒の葛で正面の敵を突くスキル,22,22,1,1,1,300
20006,SK020006,毒蔦の槍,前方の敵を貫く、力強い突きをするスキル,22,22,2,2,1,450
20007,SK020007,スピンカッター,,0,0,0,0,0,0
20008,SK020008,床板割り,両手で剣を握って強く打ち下ろし、地面の破片を飛ばして攻撃するスキル,22,22,1,1,1,300
20009,SK020009,喧嘩上等,バットを片手でぐるぐる回した後両手で叩く,22,22,1,1,1,300
20010,SK020010,極悪ホームラン,片手に唾を吐いた後、バットをつかんで相手を叩く,22,22,1,2,1,300
20011,SK020011,ホーリースイング,ブレードを片手で高く掲げると空から光が零れ落ち、その光を受けたブレードで攻撃する,22,22,1,1,1,300
20012,SK020012,切り,,0,0,0,0,0,0
20013,SK020013,手懐け,,0,0,0,0,0,0
20014,SK020014,エアスラッシュ,動作がとても早く、刀身の軌跡のきらめきしか見えない。脅威的な三段攻撃が印象的,22,22,1,1,1,300
20015,SK020015,ソニックウエーブ,まるで嵐を起こすようにブレードを上下に振り回して衝撃波を飛ばすスキル,22,32,2,2,1,450
20016,SK020016,ドライビングカット,突きに回転力を加えてより致命的な一撃を飛ばすスキル,22,22,1,1,1,200
20017,SK020017,デンジャラスクロス,十文字に打ち下ろす攻撃。愛嬌のあるポーズだが油断すると酷い目にあう,22,22,1,1,1,300
20018,SK020018,ジャガーノートブレイク,圧倒的に重い武器を地面に打ち下ろし、周辺に地震を起こして攻撃するスキル,22,22,2,1,1,300
20019,SK020019,カッティングサンダー,,0,0,0,0,0,0
20020,SK020020,シャワーブルロウィング,,0,0,0,0,0,0
20021,SK020021,エレクトリックストーム,ビームセイバーを地面に刺して、巻き起こる磁気嵐で相手を攻撃する,22,22,1,1,1,300
20022,SK020022,一閃,全身の気を集中し、瞬間的に非常に早く前方を切り裂くスキル。,22,22,1,1,1,300
20023,SK020023,三殺法,凄まじい速度で踏み込みで、加速した刃の軌跡をそのまま利用、目にも止まらないスピードで敵を切り裂くスキル,22,22,1,2,1,600
20024,SK020024,ヨギョックチァム,,0,0,0,0,0,0
20025,SK020025,イルギョックチァム,,0,0,0,0,0,0
20026,SK020026,一撃必殺,,0,0,0,0,0,0
20027,SK020027,天地割る,,0,0,0,0,0,0
20028,SK020028,デスホイール,"両腕で力強く X字の軌跡を描きながら切り裂くスキル",22,22,1,1,1,300
20029,SK020029,パーフェクトストーム,,22,22,1,1,1,300
20030,SK020030,カロチン☆ロケット,,22,22,1,1,1,300
20031,SK020031,殴り飛ばす,,0,0,0,0,0,0
20032,SK020032,ビックリヘッドバット,床からピエロが飛び出す,22,22,1,1,1,300
20033,SK020033,ブレイカーダウン,6個の蛍光灯がスパークして敵を攻撃する,22,22,1,1,1,300
30101,SK030101,"ボクシング型グローブ基本攻撃 1","ボクシング型グローブ基本攻撃 1回目だ。",22,22,1,0,1,81
30102,SK030102,"ボクシング型グローブ基本攻撃 2","ボクシング型グローブ基本攻撃 2回目だ。",22,22,1,0,1,77
30103,SK030103,"ボクシング型グローブ基本攻撃 3","ボクシング型グローブ基本攻撃 3回目だ。",22,22,1,0,1,72
30104,SK030104,"ボクシング型グローブ基本攻撃 4","ボクシング型グローブ基本攻撃 4回目だ。",22,22,1,0,1,143
30201,SK030201,"拳法型グローブ基本攻撃 1","拳法型グローブ基本攻撃 1回目だ。",22,22,1,0,1,81
30202,SK030202,"拳法型グローブ基本攻撃 2","拳法型グローブ基本攻撃 2回目だ。",22,22,1,0,1,77
30203,SK030203,"拳法型グローブ基本攻撃 3","拳法型グローブ基本攻撃 3回目だ。",22,22,1,0,1,72
30204,SK030204,"拳法型グローブ基本攻撃 4","拳法型グローブ基本攻撃 4回目だ。",22,22,1,0,1,143
30301,SK030301,"クロー型グローブ基本攻撃 1","クロー型グローブ基本攻撃 1回目だ。",22,22,1,0,1,81
30302,SK030302,"クロー型グローブ基本攻撃 2","クロー型グローブ基本攻撃 2回目だ。",22,22,1,0,1,77
