//pow,speed,skill,luck
4,3,3,2
8,6,6,4
13,9,9,6
17,13,13,8
21,16,16,10
25,19,19,12
29,22,22,15
33,25,25,17
38,28,28,19
42,31,31,21
46,34,34,23
50,38,38,25
54,41,41,27
58,44,44,29
63,47,47,31
67,50,50,33
71,53,53,35
75,56,56,37
79,59,59,40
83,63,63,42
88,66,66,44
92,69,69,46
96,72,72,48
100,75,75,50
104,78,78,52
108,81,81,54
113,84,84,56
117,88,88,58
121,91,91,60
125,94,94,62
129,97,97,65
133,100,100,67
138,103,103,69
142,106,106,71
146,109,109,73
150,113,113,75
154,116,116,77
158,119,119,79
163,122,122,81
167,125,125,83
171,128,128,85
175,131,131,87
179,134,134,89
183,138,138,92
188,141,141,94
192,144,144,96
196,147,147,98
200,150,150,100
204,153,153,102
208,156,156,104
213,159,159,106
217,163,163,108
221,166,166,110
225,169,169,112
229,172,172,114
233,175,175,117
238,178,178,119
242,181,181,121
246,184,184,123
250,188,188,125
253,190,190,127
257,193,193,128
260,195,195,130
263,198,198,132
267,200,200,133
270,203,203,135
273,205,205,137
277,208,208,138
280,210,210,140
283,213,213,142
287,215,215,143
290,218,218,145
293,220,220,147
297,223,223,148
300,225,225,150
303,228,228,152
307,230,230,153
310,233,233,155
313,235,235,157
317,238,238,158
320,240,240,160
323,243,243,162
327,245,245,163
330,248,248,165
333,250,250,167
337,253,253,168
340,255,255,170
343,258,258,171
347,260,260,173
350,263,263,175
353,265,265,176
357,268,268,178
360,270,270,180
363,273,273,181
367,275,275,183
370,278,278,185
373,280,280,186
377,283,283,188
380,285,285,190
383,288,288,191
387,290,290,193
390,293,293,195
393,295,295,196
397,298,298,198
400,300,300,200
403,303,303,201
407,305,305,203
410,308,308,205
413,310,310,206
417,313,313,208
420,315,315,210
423,318,318,211
427,320,320,213
430,323,323,215
433,325,325,216
437,328,328,218
440,330,330,220
443,333,333,221
447,335,335,223
450,338,338,225
452,339,339,226
455,341,341,227
457,343,343,229
460,345,345,230
462,347,347,231
465,349,349,232
467,351,351,234
470,353,353,235
472,354,354,236
475,356,356,237
477,358,358,239
480,360,360,240
482,362,362,241
485,364,364,242
487,366,366,244
490,368,368,245
492,369,369,246
495,371,371,247
497,373,373,249
500,375,375,250
502,377,377,251
505,379,379,252
507,381,381,253
510,383,383,255
512,384,384,256
515,386,386,257
517,388,388,258
520,390,390,260
522,392,392,261
525,394,394,262
527,396,396,263
530,398,398,265
532,399,399,266
535,401,401,267
537,403,403,268
540,405,405,270
542,407,407,271
545,409,409,272
547,411,411,273
550,413,413,275
552,414,414,276
555,416,416,277
557,418,418,278
560,420,420,280
562,422,422,281
565,424,424,282
567,426,426,283
570,428,428,285
572,429,429,286
575,431,431,287
577,433,433,288
580,435,435,290
582,437,437,291
585,439,439,292
587,441,441,293
590,443,443,295
592,444,444,296
595,446,446,297
597,448,448,298
600,450,450,300
602,451,451,301
603,453,453,301
605,454,454,302
607,455,455,303
608,456,456,304
610,458,458,305
612,459,459,306
613,460,460,306
615,461,461,307
617,463,463,308
618,464,464,309
620,465,465,310
622,466,466,311
623,468,468,311
625,469,469,312
627,470,470,313
628,471,471,314
630,473,473,315
632,474,474,316
633,475,475,316
635,476,476,317
637,478,478,318
638,479,479,319
640,480,480,320
642,481,481,321
643,483,483,321
645,484,484,322
647,485,485,323
648,486,486,324
650,488,488,325
652,489,489,326
653,490,490,326
655,491,491,327
657,493,493,328
658,494,494,329
660,495,495,330
662,496,496,331
663,498,498,331
665,499,499,332
667,500,500,333
668,501,501,334
670,503,503,335
672,504,504,336
673,505,505,336
675,506,506,337
677,508,508,338
678,509,509,339
680,510,510,340
682,511,511,341
683,513,513,341
685,514,514,342
687,515,515,343
688,516,516,344
690,518,518,345
692,519,519,346
693,520,520,346
695,521,521,347
697,523,523,348
698,524,524,349
700,525,525,350
701,526,526,350
701,526,526,350
702,527,527,350
703,528,528,350
704,529,529,350
705,529,529,350
706,530,530,350
706,530,530,350
707,531,531,350
708,531,531,350
709,532,532,350
710,533,533,350
711,534,534,350
711,534,534,350
712,535,535,350
713,535,535,350
714,536,536,350
715,536,536,350
716,537,537,350
716,538,538,350
717,539,539,350
718,539,539,350
719,540,540,350
720,540,540,350
721,541,541,350
721,541,541,350
722,542,542,350
723,543,543,350
724,544,544,350
725,544,544,350
726,545,545,350
726,545,545,350
727,546,546,350
728,546,546,350
729,547,547,350
730,548,548,350
731,549,549,350
731,549,549,350
732,550,550,350
733,550,550,350
734,551,551,350
735,551,551,350
736,552,552,350
736,553,553,350
737,554,554,350
738,554,554,350
739,555,555,350
740,555,555,350
741,556,556,350
741,556,556,350
742,557,557,350
743,558,558,350
744,559,559,350
745,559,559,350
746,560,560,350
746,560,560,350
747,561,561,350
748,561,561,350
749,562,562,350
750,563,563,350
